"","x"
"1187",0.972196682341085
"1188",0.790978338883006
"1189",0.48103273530558
"1190",0.940090438550396
"1191",0.796659135038993
"1192",0.558920571780543
"1193",0.922132852377135
"1194",0.84904084838904
"1195",0.761831314323965
"1196",0.674095811158127
"1197",0.909985047151075
"1198",0.79286365648392
"1199",0.543665889763916
"1200",0.784527144310817
"1201",0.554406451823982
"1202",0.871736789567598
"1203",0.766106805858832
"1204",0.482317596055236
"1205",0.561353662832511
"1206",0.01
"1207",0.76276346807399
"1208",0.313724909535906
"1209",0.510744102727312
"1210",0.801940996864096
"1211",0.511111160434311
"1212",0.0646699861986697
"1213",0.925817776204126
"1214",0.808606188579878
"1215",0.444327224082194
"1216",0.919872943648664
"1217",0.901217378441291
"1218",0.767722382245412
"1219",0.367042039369755
"1220",0.792120073498617
"1221",0.904198302136051
"1222",0.846638281935868
"1223",0.580896620490472
"1224",0.840335929425887
"1225",0.783246397572992
"1226",0.852592215674981
"1227",0.141376025903982
"1228",0.651479572422499
"1229",0.974438865822219
"1230",0.298011816264655
"1231",0.917691757205883
"1232",0.01
"1233",0.741598541644777
"1234",0.81066176849233
"1235",0.819089745167788
"1236",0.81695430102449
"1237",0.774973092519106
"1238",0.927995843364748
"1239",0.0762358882196996
"1240",0.819671618606318
"1241",0.469400750743403
"1242",0.688474859556915
"1243",0.81537368937414
"1244",0.908629637631988
"1245",0.863140784819995
"1246",0.0414361095813384
"1247",0.607053031002343
"1248",0.95378478196598
"1249",0.826284241615011
"1250",0.78728859223891
"1251",0.936419697396314
"1252",0.796494128413795
"1253",0.327818463463948
"1254",0.769934865518821
"1255",0.309137328455741
"1256",0.808283713714386
"1257",0.691861251093399
"1258",0.900579334905157
"1259",0.495234778116913
"1260",0.923216860162633
"1261",0.812267468530987
"1262",0.300194911505503
"1263",0.929285258590553
"1264",0.591608653363084
"1265",0.877393792019233
"1266",0.831564324621257
"1267",0.392338589710379
"1268",0.866612096601539
"1269",0.957350083859798
"1270",0.827744527719236
"1271",0.870799088345804
"1272",0.87906062730983
"1273",0.925063494992297
"1274",0.924081208040224
"1275",0.940245020695413
"1276",0.940441785392936
"1277",0.853624390742224
"1278",0.857759349590307
"1279",0.511025904803425
"1280",0.0470474996612237
"1281",0.84142841515763
"1282",0.908076337135924
"1283",0.91911494387826
"1284",0.719560560790355
"1285",0.977382115789351
"1286",0.955378943875275
"1287",0.0331325624387763
"1288",0.717658430007135
"1289",0.791709492511152
"1290",0.210583993962578
"1291",0.05898318874184
"1292",0.71561834507257
"1293",0.397878345711724
"1294",0.927957860551629
"1295",0.900353757004763
